sample_id,st,zp,alpha_z,beta_z,alpha_m,m_max,delta_m,m_min,lambda_peak,mu_m,sigma_m,beta_q
pop05001_sample00002,4096,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00003,6144,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00004,8192,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00005,10240,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00006,12288,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00007,14336,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00008,16384,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00009,18432,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00010,20480,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00011,22528,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00012,24576,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00013,26624,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00014,28672,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00015,30720,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00016,32768,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00017,34816,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00018,36864,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00019,38912,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00020,40960,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00021,43008,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00022,45056,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05002_sample00000,0,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00001,2048,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00002,4096,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00003,6144,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00004,8192,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00005,10240,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00006,12288,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00007,14336,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00008,16384,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00009,18432,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00010,20480,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00011,22528,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00012,24576,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00013,26624,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00014,28672,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00015,30720,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00016,32768,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00017,34816,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00018,36864,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00019,38912,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00020,40960,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00021,43008,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05002_sample00022,45056,2.254547393,2.31817891,3.40809675,3.28133339,64.37727557,6.122603409,9.955014532,0.049376441,34.82311699,3.562825328,4.503185795
pop05003_sample00000,0,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00001,2048,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00002,4096,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00003,6144,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00004,8192,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00005,10240,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00006,12288,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00007,14336,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00008,16384,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00009,18432,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00010,20480,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00011,22528,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00012,24576,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00013,26624,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00014,28672,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00015,30720,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00016,32768,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00017,34816,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00018,36864,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00019,38912,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00020,40960,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00021,43008,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05003_sample00022,45056,1.740004386,3.089993421,2.12442939,3.041651292,96.95046902,0.896686068,8.726092303,0.030468163,33.46950631,3.576032043,0.611136092
pop05004_sample00000,0,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00001,2048,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00002,4096,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00003,6144,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00004,8192,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00005,10240,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00006,12288,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00007,14336,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00008,16384,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00009,18432,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00010,20480,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00011,22528,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00012,24576,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00013,26624,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00014,28672,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00015,30720,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00016,32768,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00017,34816,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00018,36864,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00019,38912,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00020,40960,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00021,43008,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05004_sample00022,45056,2.269649685,2.295525473,3.513443134,3.092790118,55.24491781,7.103442385,4.769143411,0.05510713,34.85055249,3.593007773,0.517134982
pop05005_sample00000,0,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00001,2048,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00002,4096,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00003,6144,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00004,8192,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00005,10240,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00006,12288,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00007,14336,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00008,16384,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00009,18432,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00010,20480,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00011,22528,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00012,24576,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00013,26624,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00014,28672,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00015,30720,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00016,32768,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00017,34816,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00018,36864,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00019,38912,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00020,40960,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00021,43008,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05005_sample00022,45056,1.488134431,3.467798354,2.207183061,3.109664092,14.63637033,3.900776466,7.690019147,0.041434027,33.55456746,3.554652368,1.690138959
pop05006_sample00000,0,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00001,2048,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00002,4096,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00003,6144,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00004,8192,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00005,10240,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00006,12288,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00007,14336,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00008,16384,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00009,18432,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00010,20480,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00011,22528,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00012,24576,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00013,26624,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00014,28672,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00015,30720,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00016,32768,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00017,34816,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00018,36864,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00019,38912,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00020,40960,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00021,43008,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05006_sample00022,45056,2.176798437,2.434802344,2.977031312,3.128932127,29.90967905,8.376964916,6.271387576,0.039140838,33.87316038,3.555252263,-1.471685168
pop05007_sample00000,0,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00001,2048,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00002,4096,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00003,6144,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00004,8192,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00005,10240,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00006,12288,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00007,14336,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00008,16384,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00009,18432,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00010,20480,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00011,22528,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
pop05007_sample00012,24576,2.247547633,2.32867855,3.36204769,3.282701696,32.03136158,9.425292453,8.292142271,0.050912751,33.93332993,3.533358526,-3.341965975
